O=S(=O)(c1ccncc1)N1CCC1CN1CCC[C@@H](CN2CCC[C@H](CN3CCNCC3)C2)C1, {'score': 3.2158353328704834}
O=C(O)[C@H](Cc1c[nH]cn1)N(c1ncc2[nH]ccc2n1)c1ccc([N+](=O)[O-])c2ccccc12, {'score': 4.024593830108643}
O=C(O)[C@@H]1Cc2ccccc2CN1C(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@H]1CCCN(S(=O)(=O)c2ccncc2)C1, {'score': 4.5289740562438965}
N#Cc1ccc(N(CCCC[C@@H](CN2CCC[C@H]2C(=O)O)NC(=O)Nc2ccncc2C=O)C(=O)N2C[C@H](O)C[C@H]2C(=O)O)cc1, {'score': 3.680755376815796}
O=C1CCCN(S(=O)(=O)c2cccc(B(O)O)c2)C1, {'score': 2.2079110145568848}
CC[C@H](C)[C@@H](NCc1cc(C(F)(F)F)ccc1Br)C(=O)O[C@@H]1CCN(C(=O)N(CCC(=O)OC)c2nc(F)nc3[nH]cnc23)C1, {'score': 3.676234006881714}
COC(=O)CCN(c1ccc(-c2nnn(Cc3ccccc3F)n2)cn1)C(C)(C)C(=O)Oc1ccc(C[C@H](N)C(=O)O)cc1, {'score': 3.63000226020813}
C[C@@H](O)CNCCN(C)C(=O)N(c1ccc(-c2cnc3cccnn23)cn1)c1ncccc1C=O, {'score': 3.945084571838379}
COC(=O)CCN(C(=O)[C@@H](Nc1ccc(C#N)cc1C(F)(F)F)C(C)C)[C@H](Cc1ccccc1)C(=O)O, {'score': 2.9467198848724365}
CC(C)CNc1ccc(C(=O)Oc2ccc(CN(CCS(N)(=O)=O)C(=O)c3ccc(C(F)(F)F)cn3)cc2)cc1C(F)(F)F, {'score': 4.229316234588623}
COc1ccccc1CN(c1nc(N(c2nc3ccccc3[nH]2)C2CCCNC2)c2nc[nH]c2n1)c1cnc(C)[nH]1, {'score': 4.853920936584473}
CSCC[C@H](CN1CCC[C@@H]1C(=O)O)N(CCS(N)(=O)=O)c1cc(B(O)O)ccc1C#N, {'score': 2.428391456604004}
O=C(O)[C@@H](Cc1ccc(O)cc1)N(Cc1cncc(N(Cc2cccnc2Br)[C@@H](Cc2ccc([N+](=O)[O-])cc2)C(=O)O)c1)c1ncc2[nH]ccc2n1, {'score': 4.332829475402832}
C=CCNC(=O)N1CC[C@@H](OC(=O)c2ccccn2)C1, {'score': 3.150346517562866}
C[C@@H](O)CN(Cc1nc2ccccc2[nH]1)c1ccc(C(F)(F)F)cn1, {'score': 4.2556328773498535}
C#Cc1cnc(N(CCC(=O)OC)c2nccc(OC)n2)c(C)c1, {'score': 3.3047401905059814}
Cc1sc(N(CCC[C@@H](C(=O)O)N(c2ccc(C#N)cc2C(F)(F)F)c2ccc([N+](=O)[O-])c3ccccc23)c2ccc([N+](=O)[O-])c3ccccc23)nc1C(=O)O, {'score': 3.869788885116577}
CC(C)(CN(c1ccc(C#N)c(CBr)c1)[C@H](CO)C(=O)O)NC(=O)c1ccccc1Cn1nnc(-c2ccc(B(O)O)cc2F)n1, {'score': 3.612295627593994}
O=C(O)c1cccnc1N1CCC(S(=O)(=O)N2CCC(N3CCC[C@@H](C(=O)N4CCC[C@@H]4C(=O)O)C3)CC2)CC1, {'score': 3.833578109741211}
COc1ccc(NC(=O)N(CCc2ccncc2)C2CCN(CCBr)CC2)cc1, {'score': 4.5038323402404785}
CC[C@H](C)[C@@H](NC(=O)Nc1ccc(-c2ccc(N(c3ccc(C#N)c(CBr)c3)c3nc(C)c(C(=O)O)s3)nc2)cc1)C(=O)O, {'score': 4.304846286773682}
O=C([C@H]1CCCN(c2c(F)cccc2CN2CCCC(N3CCC[C@H](O)C3)C2)C1)N1CCC[C@H](O)C1, {'score': 4.675201416015625}
Cc1c[nH]c(-c2cn(Cc3ccc(-c4nnn(Cc5ccccc5C(=O)N(C)CC(=O)O)n4)cc3)nn2)n1, {'score': 5.09243631362915}
O=C(O[C@@H]1C[C@@H](CN2CCC[C@H](O)C2)N(c2cc(Cn3cc(CO)nn3)ccc2[N+](=O)[O-])C1)[C@@H]1CCCNC1, {'score': 4.132932186126709}
CC[C@H](C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC1C(=O)O)N(c1cc(B(O)O)ccc1C#N)c1ccc(C#N)cc1C(F)(F)F, {'score': 3.6838932037353516}
O=C(O)C1CCN1C(=O)N1CCC(N2CCN(CCNc3ncc(N4CCC(S(=O)(=O)F)CC4)cn3)CC2)CC1, {'score': 5.574423313140869}
CC(C)(NS(=O)(=O)N1CCCCC1)C(=O)N1CCC[C@@H](OC(=O)c2cccc(N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)n2)C1, {'score': 3.5425703525543213}
CN(CC(=O)O)C(=O)[C@@H]1C[C@@H](O)CN1c1ncccc1N1CCN(Cc2ncccc2C(F)(F)F)CC1, {'score': 4.0621795654296875}
O=CC(=O)N1CCC[C@H](C(=O)O)C1, {'score': 1.6472506523132324}
CC[C@H](C)[C@@H](C(=O)O)N(c1ncc(Br)cc1B(O)O)c1c(F)cccc1C(=O)O, {'score': 2.593332052230835}
N#Cc1ccc(B(O)O)cc1N(CCO)C[C@@H](Cc1c[nH]cn1)Nc1ccc2[nH]cc(CN3CCCC(CO)C3)c2c1, {'score': 3.5854456424713135}
