C#Cc1cnc(N(C[C@H](CC(=O)O)NC(=O)NC2CCCC2)c2ccc(C#N)cc2C(F)(F)F)c(C)c1, {'score': 4.113136291503906}
N#Cc1cc(B(O)O)ccc1N[C@@H](CS)CN(CCc1c[nH]c2ccccc12)c1ncccc1CN[C@@H](Cc1ccccc1)C(=O)O, {'score': 3.455404043197632}
O=C(O)C1CCN1S(=O)(=O)c1cccc2ccccc12, {'score': 2.8070383071899414}
O=C(O)Cn1nnc(-c2ccc(B(O)O)cn2)n1, {'score': 2.9711291790008545}
COc1ccnc(N(CCN2CCN(C[C@@H]3Cc4ccccc4CN3C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC2)C(=O)N[C@@H](C)c2ccccc2)n1, {'score': 4.555185794830322}
N[C@@H](CCCNc1cc(CBr)ccc1[N+](=O)[O-])CN[C@@H](Cc1c[nH]cn1)C(=O)Oc1ccccc1CNC(=O)c1cscn1, {'score': 3.1851136684417725}
O=C(O)[C@@H](Nc1nnnn1-c1ccc(Cl)cc1Cl)c1ccccc1, {'score': 4.011113166809082}
Cc1ccc(S(=O)(=O)F)cc1NC[C@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)N(c1ccc(C#N)c(CBr)c1)C1CCC1, {'score': 4.69379186630249}
OCCc1cn(CC2CCCCC2)nn1, {'score': 2.608250856399536}
COc1ccc(Cn2nnc(-c3ccc(CN(C4CCCN(c5ncc(Br)cn5)C4)[C@@H](Cc4cccs4)C(=O)O)cn3)n2)cc1, {'score': 4.825588226318359}
CC[C@H](C)[C@@H](C(=O)O)N(CCC(=O)OC)c1nc(N(Cc2nc3ccccc3[nH]2)[C@H](C)C(=O)O)ccc1N, {'score': 3.4638724327087402}
C[C@H](O)CN(C[C@@H]1CCCN1S(=O)(=O)N1CCOCC1)c1ccc(C(=O)OCC(=O)O)c(F)c1F, {'score': 3.224099636077881}
N#Cc1ccc(N2CCC(N(C(=O)N3CCNCC3)[C@H](CC(N)=O)C(=O)O[C@H]3CCCNC3)CC2)c(C(F)(F)F)c1, {'score': 3.9204559326171875}
[N-]=[N+]=NCCOC(=O)[C@H](CC(=O)O[C@@H]1CCCC[C@H]1N)N(c1csc(C=O)n1)c1ccc(CBr)cc1[N+](=O)[O-], {'score': 2.536878824234009}
O=C(O)c1ccc(-c2nnn(Cc3ccc([N+](=O)[O-])c(N4Cc5ccccc5C[C@H]4C(=O)OC4CCN(c5c[nH]cn5)CC4)c3)n2)nc1, {'score': 5.1709303855896}
O=C(O)[C@@H](NC(=O)N(c1nc2ccccc2[nH]1)[C@H](Cc1ccc(O)cc1)C(=O)O)c1ccccc1, {'score': 4.024497032165527}
O=C(N[C@@H](Cc1ccc([N+](=O)[O-])cc1)CN1CCN(C(=O)N2CCCC(N3CCCC(CO)C3)C2)CC1)c1cccc(F)n1, {'score': 5.358496189117432}
N#Cc1ccc(B(O)O)cc1N(c1nnnn1-c1ccccc1C(F)(F)F)[C@H](CN1CCN(C(=O)Nc2ccncc2C=O)CC1)c1ccccc1, {'score': 4.391561031341553}
Cc1ncc(-c2cccnc2N2CCC(NCCOC(=O)[C@@H](N)c3ccccc3)CC2)[nH]1, {'score': 4.089179039001465}
NC(=O)C[C@@H](NC(=O)[C@@H]1CCCN1C(=O)NCCN1CCN(C(=O)N(CCc2ccc(O)cc2)c2cc(CBr)ccc2[N+](=O)[O-])CC1)C(=O)O, {'score': 4.514108657836914}
OCC1CCCN(c2ccc(-c3nnn(Cc4cccnc4)n3)cn2)C1, {'score': 4.907138347625732}
CC[C@H](C)[C@@H](C(=O)O)N(C(=O)[C@@H]1Cc2ccccc2CN1)c1nc(N(Cc2cccnc2Br)CC2CCN2)c2nc[nH]c2n1, {'score': 4.233749866485596}
COc1ccc(Cn2nnc(-c3ccc(-c4c[nH]cn4)cn3)n2)cc1, {'score': 5.391093730926514}
Cc1cc(Br)cnc1N(Cc1cccnc1N(CCc1ccc(O)cc1)Cc1ccc(B(O)O)cc1)C(=O)Nc1n[nH]cc1Br, {'score': 4.231483459472656}
Cc1ccc(Cn2nnc(-c3cc(B(O)O)ccc3F)n2)cc1F, {'score': 3.5216450691223145}
O=C(Nc1cccc(-c2ccnc(F)c2)c1)Nc1cccc(C(F)(F)F)c1, {'score': 5.7587385177612305}
Oc1cccc(-c2cncc(O)c2)c1, {'score': 3.201019525527954}
COc1ccc(S(=O)(=O)N[C@@H](CN2CCC[C@@H](C(=O)O)C2)C(C)C)cc1, {'score': 2.9167120456695557}
CCCCNC(=O)N1CCC(N2C[C@H](O)C[C@H]2C(=O)N2CCC(O)CC2)CC1, {'score': 3.830427408218384}
CC[C@@H](C(=O)NCCN1CCNCC1)N(c1ccc(-c2nnn(Cc3ccc(OC)cc3)n2)cn1)c1nc(C(=O)O)c(C)s1, {'score': 4.430009365081787}
Cc1c[nH]c(N[C@H](CO)C(=O)N[C@H](CN[C@@H](C)C(=O)OCCCN=[N+]=[N-])Cc2c[nH]cn2)n1, {'score': 2.6378798484802246}
COC(=O)CCN(CC#Cc1cccc(S(=O)(=O)Nc2ncc(Br)cc2C)n1)c1ccc(B(O)O)cc1C#N, {'score': 2.5848333835601807}
O=C(N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2cc(Nc3ccc([N+](=O)[O-])c4ccccc34)[nH]n2)cn1)c1cncs1, {'score': 5.454740047454834}
COc1ccccc1CN(c1ccc(C(=O)OC2CCN(CCS(N)(=O)=O)CC2)cc1)c1c(F)cccc1C(=O)O, {'score': 3.9051246643066406}
O=C1CCCN(c2ccc(S(=O)(=O)Nc3cccc(B(O)O)c3)cn2)C1, {'score': 2.8277227878570557}
N[C@H](CCCCNS(=O)(=O)c1cnc(N(c2ccc3ccccc3n2)[C@@H](CO)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)s1)C(=O)O, {'score': 3.426936388015747}
CC(C)[C@H](CN[C@@H](Cc1c[nH]cn1)C(=O)O)NC(=O)NCC(=O)N1CCC[C@@H]1C(=O)Oc1ccc(Br)cn1, {'score': 3.5804500579833984}
