O=C(C[C@@H](C(=O)Oc1ccc(F)cc1B(O)O)N(c1nc2ccccc2[nH]1)c1nnnn1-c1c(Cl)cccc1Cl)Oc1cc(F)cc(B(O)O)c1, {'score': 3.130319833755493}
CC(c1ccc(S(=O)(=O)N2CCC(N3CCC3C(=O)O)CC2)cc1)N1CCC1CN1CCC(S(=O)(=O)F)CC1, {'score': 4.138516426086426}
N#Cc1cc(B(O)O)ccc1NCCCC[C@H](Nc1ncc2[nH]ccc2n1)C(=O)N(c1nc2ccccc2[nH]1)c1ccncc1C=O, {'score': 3.725212812423706}
O=C(OC1CCCC1)c1cccnc1O, {'score': 2.0639097690582275}
C[C@@H](NC(=O)N1CC[C@@H](O)C1)c1ccccc1, {'score': 3.8417489528656006}
CCCCCCOC(=O)[C@@H](CCCCN(c1cc(F)ncc1C)c1cc(F)ncc1C)Nc1cc(CBr)ccc1[N+](=O)[O-], {'score': 2.930967092514038}
Cc1cc(C#CCNc2nc3ccccc3[nH]2)cnc1N(Cc1ccc(C(F)(F)F)cc1)C(=O)c1cccnc1F, {'score': 5.123513698577881}
Cc1cnc(N2CCN(CCN)CC2)cc1N1CC[C@@H](OC(=O)C2CCN2c2c[nH]cn2)C1, {'score': 4.480579853057861}
COC(=O)CCN(Cc1ccccc1)Cc1ccc(-c2ncccc2C(F)(F)F)cc1, {'score': 4.115439414978027}
CSCC[C@H](CN(c1ccccc1B(O)O)C1CCOCC1)N(Cc1ccncc1)c1ccc(B(O)O)cc1C#N, {'score': 2.6623787879943848}
C=CCOC(=O)CCNc1ncc(-c2ccc(NCCC(=O)OC)nc2)cc1C, {'score': 3.3695149421691895}
OCCC#Cc1ncccc1C(F)(F)F, {'score': 2.3077499866485596}
CC(C)CNC(=O)[C@@H](c1ccccc1)N(CCS(=O)(=O)F)c1cc(C=O)ccn1, {'score': 3.2999579906463623}
C[C@@H](NC(=O)[C@@H]1C[C@@H](OC(=O)CO)CN1c1cc(C(F)(F)F)ccc1C=O)c1ccccc1, {'score': 3.936018705368042}
FC(F)(F)c1ccc(CN(c2ccc(NCc3cccnc3)c(Br)n2)c2ncccc2-c2csc(Br)n2)cc1, {'score': 5.176307678222656}
CC(C)CNC(=O)N(Cc1ccc(CN2CC[C@@H](OC(=O)c3ccc(C(F)(F)F)cn3)C2)cc1)[C@@H](Cc1ccccc1)C(=O)O, {'score': 4.392027378082275}
O=[N+]([O-])c1cc(CBr)ccc1N(c1ccnc(F)c1)c1ccc(-c2csc(CN3CCC(S(=O)(=O)F)CC3)n2)cn1, {'score': 3.9894893169403076}
N#Cc1ccc(B(O)O)cc1N(Cc1cccc(OC(=O)[C@@H]2CCCN(C(=O)N3CCC[C@H](O)C3)C2)c1)c1c(F)cccc1C(=O)O, {'score': 3.7617685794830322}
NC(=O)C[C@@H](C(=O)OC[C@@H](N)C(=O)O)N(c1ccc(Cn2nnc(-c3ccc(B(O)O)cc3F)n2)cc1[N+](=O)[O-])c1nnnn1-c1ccccc1C(F)(F)F, {'score': 3.7962217330932617}
OCc1cn(Cc2cccnc2)nn1, {'score': 2.2158496379852295}
COC(=O)c1cccc(CNCc2cn(Cc3ccc([N+](=O)[O-])c(N(CCCO)CCS(=O)(=O)F)c3)nn2)c1, {'score': 3.584538698196411}
C[C@H](CN(c1nc2ccccc2[nH]1)[C@@H](CN1CCC[C@@H]1C(=O)O)c1ccccc1)Nc1cccnc1F, {'score': 3.8129098415374756}
COc1cccc(C(C)N(C[C@H]([C@@H](C)O)N(c2ccc(B(O)O)cc2C#N)C2CCC2)c2ccccc2C(=O)O)c1, {'score': 3.332735776901245}
O=C1CCCN(C(=O)c2ccc(-c3nnn(Cc4ccc(-c5nnn(Cc6cccnc6)n5)cc4F)n3)nc2)C1, {'score': 5.35820198059082}
COC(=O)CCN(CCCCN(c1nccc(OC)n1)c1nc(C)c[nH]1)c1ccc(C#N)cc1, {'score': 2.7611305713653564}
O=C(N[C@H](CS)C(=O)O)c1ccc(-c2nnn(Cc3cccc(F)c3)n2)nc1, {'score': 4.28037691116333}
OCCc1cn(CCO)nn1, {'score': 1.3804755210876465}
Cc1ncc(-c2cccc(Cl)c2)[nH]1, {'score': 2.939635753631592}
C[C@@H](OC(=O)c1cccc(-c2cccnc2N(CCc2c[nH]c3ccc(O)cc23)c2ccc(C#N)cc2C(F)(F)F)c1)C(=O)O, {'score': 4.202146053314209}
O=[N+]([O-])c1ccc(Cn2cc(CCO)nn2)cc1F, {'score': 3.255925416946411}
N#Cc1ccc(N(Cc2cc[nH]n2)c2ccc(F)nc2N(CCc2c[nH]c3ccc(O)cc23)c2ccc(B(O)O)cc2C(=O)O)cc1, {'score': 4.002218246459961}
Cc1ccnc(-c2cc(F)cc(OC(=O)[C@H](N)Cc3c[nH]c4ccccc34)c2)c1N(c1ccc(CBr)cc1[N+](=O)[O-])c1ccc([N+](=O)[O-])c2ncccc12, {'score': 3.632816791534424}
CC(C)C[C@@H]1NC(=Nc2ccc(OC(F)(F)F)cc2)N([C@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@@H]2CNc2ccccc2C(=O)O)C1=O, {'score': 4.338685989379883}
N[C@@H](CCC(=O)O)C(=O)O[C@@H]1CCCN(C(=O)[C@H](Cc2cccs2)N(c2c[nH]cn2)c2nnnn2-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1, {'score': 3.972879648208618}
O=C(O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](CCCCN(CCS(=O)(=O)F)C1CCOCC1)NS(=O)(=O)c1ccc(Br)cc1, {'score': 2.739100694656372}
O=C(O)c1ccc(N(CCCC[C@@H](C(=O)O)N(c2c[nH]cn2)c2nnnn2-c2ccccc2F)c2ccc3ccccc3n2)c(B(O)O)c1, {'score': 3.569870710372925}
Fc1ncccc1-c1cccc(Cl)c1, {'score': 2.718188524246216}
N=C(N)NCCC[C@H](CN(Cc1ccccc1)c1cccc(CN2CCNCC2)n1)NC(=O)c1cc(C(F)(F)F)ccn1, {'score': 4.423081874847412}
COc1cccc(C(C)N(Cc2cccc(OC(=O)c3ccccc3CCl)c2)C2CCCN(CC3CCCCC3)C2)c1, {'score': 4.065155029296875}
COc1ccnc(N(C(=O)N2CCN(CCNC(=O)NCc3ccco3)CC2)c2c(F)cccc2CN2CCC2C(=O)O)n1, {'score': 5.431031703948975}
Cc1cnc(F)cc1Nc1ncc(-c2ccccc2NS(=O)(=O)N2CCOCC2)cc1C, {'score': 3.86613392829895}
Cc1cnc(N2CCC(OC(=O)CC[C@H](N)C(=O)O)CC2)cc1-c1ccc(-c2nnn(Cc3cccc(C)c3C)n2)nc1, {'score': 4.903972148895264}
C#Cc1c[nH]nc1NC[C@H](CC1CCCCC1)N(C(=O)NCC=C)c1nccc(OC)n1, {'score': 3.5954549312591553}
N#Cc1cccc(Cn2nnc(-c3ccc(F)cc3CBr)n2)c1, {'score': 4.166263580322266}
O=C(O)[C@H](CCCCN(Cc1ccc(F)c(C(F)(F)F)c1)Cc1ccccc1C(F)(F)F)N(c1ccccn1)c1nnnn1-c1cc(C(F)(F)F)cc(C(F)(F)F)c1, {'score': 4.31733512878418}
O=CCCN1CCC[C@H]1C(=O)O[C@@H]1CCCN(c2csc(Nc3cnc(F)nc3)n2)C1, {'score': 3.29213547706604}
O=C(Oc1ccc(-c2c[nH]cn2)cc1)[C@H]1CCCN(C(=O)Nc2ccccc2F)C1, {'score': 4.131474018096924}
O=C(NC1CC1)c1cscn1, {'score': 3.4796688556671143}
CSCC[C@@H](C(=O)OCC(=O)OC1CCCCC1)N(CCC=O)C(C)c1cccc(B(O)O)c1, {'score': 2.6367347240448}
O=C(O)c1ccc(N(Cc2ccc(N3CCC3CNc3ccccn3)cc2)c2ccccn2)c(F)c1F, {'score': 5.3303303718566895}
Fc1ccc(-c2c[nH]cn2)cc1, {'score': 2.9663522243499756}
CNCC(=O)OCC1CCCN(c2cc(C#Cc3nc(C)c[nH]3)c(C)cn2)C1, {'score': 3.7036588191986084}
C#Cc1ccc(C(F)(F)F)cc1CN(CCS(N)(=O)=O)[C@H](CCSC)CN1CCC[C@@H]1C(=O)O, {'score': 3.3867528438568115}
C#Cc1cnc(C)[nH]1, {'score': 1.382045030593872}
Cc1cnc(N(CCOC(=O)[C@@H](Cc2ccccc2)NCc2ccccc2Br)c2ccc(C=O)cc2C(F)(F)F)cc1I, {'score': 3.619502305984497}
CC(C)[C@H](C(=O)OCCc1cn(CC2CCC(F)(F)CC2)nn1)N(CCC(=O)O)c1ccc(C=O)cc1C(F)(F)F, {'score': 3.3353564739227295}
